date,avg_conc
1/1/2021,14.18333
1/2/2021,12.16667
1/3/2021,6.65455
1/4/2021,9.53333
1/5/2021,4.74615
1/6/2021,6.53333
1/7/2021,5.59167
1/8/2021,4.39286
1/9/2021,9.46
1/10/2021,7.28667
1/11/2021,9.70667
1/12/2021,17.9875
1/13/2021,17.425
1/14/2021,3.48333
1/15/2021,6.3
1/16/2021,11.9
1/17/2021,11.95
1/18/2021,6.98333
1/19/2021,2.98333
1/20/2021,8.41818
1/21/2021,16.675
1/22/2021,11.25455
1/23/2021,3.26364
1/24/2021,5.80833
1/25/2021,11.20833
1/26/2021,7.35833
1/27/2021,1.925
1/28/2021,1.94167
1/29/2021,1.98333
1/30/2021,2.43333
1/31/2021,5.45
2/1/2021,8.80833
2/2/2021,13.28333
2/3/2021,9.75833
2/4/2021,8.54167
2/5/2021,3.56923
2/6/2021,6.95
2/7/2021,8.11667
2/8/2021,4.53077
2/9/2021,11.80667
2/10/2021,8.88667
2/11/2021,4.92667
2/12/2021,18.9125
2/13/2021,2.25833
2/14/2021,4.225
2/15/2021,2.79167
2/16/2021,1.55
2/17/2021,2.14167
2/18/2021,4.325
2/19/2021,3.74167
2/20/2021,1.5
2/21/2021,1.53333
2/22/2021,5.01667
2/23/2021,3.65833
2/24/2021,3.18182
2/25/2021,3.01667
2/26/2021,2.025
2/27/2021,1.625
2/28/2021,3.95455
3/1/2021,8.59167
3/2/2021,2.60833
3/3/2021,7.3
3/4/2021,7.95385
3/5/2021,2.76923
3/6/2021,10.07692
3/7/2021,9
3/8/2021,12.87143
3/9/2021,16.84667
3/10/2021,7.36667
3/11/2021,5.20667
3/12/2021,24.4875
3/13/2021,4.79091
3/14/2021,3.62727
3/15/2021,3.12727
3/16/2021,4.45833
3/17/2021,6.95833
3/18/2021,4.54167
3/19/2021,3.63333
3/20/2021,3.225
3/21/2021,2.05
3/22/2021,5.375
3/23/2021,4.99091
3/24/2021,2.4
3/25/2021,3.19167
3/26/2021,3.1
3/27/2021,4.45833
3/28/2021,3.9
3/29/2021,7.975
3/30/2021,3.36923
3/31/2021,5.70833
1/1/2022,4.175
1/2/2022,7.925
1/3/2022,14.79375
1/4/2022,5.075
1/5/2022,5.43125
1/6/2022,6.99375
1/7/2022,2.95625
1/8/2022,1.84375
1/9/2022,5.66875
1/10/2022,13.56875
1/11/2022,27.46
1/12/2022,24.24375
1/13/2022,28.2875
1/14/2022,23.93125
1/15/2022,21.475
1/16/2022,25.4
1/17/2022,31.39375
1/18/2022,38.40625
1/19/2022,33.13125
1/20/2022,19.29375
1/21/2022,8.03125
1/22/2022,6.28125
1/23/2022,11.9875
1/24/2022,17.65333
1/25/2022,9.1125
1/26/2022,7.5875
1/27/2022,10.16875
1/28/2022,14.08125
1/29/2022,21.24667
1/30/2022,27.24
1/31/2022,15.89333
2/1/2022,2.1875
2/2/2022,2.85
2/3/2022,6.52
2/4/2022,13.65333
2/5/2022,12.29375
2/6/2022,10.62667
2/7/2022,11.38
2/8/2022,15.7
2/9/2022,13.53125
2/10/2022,9.65
2/11/2022,8.57333
2/12/2022,9.575
2/13/2022,9.775
2/14/2022,6.4375
2/15/2022,4.49375
2/16/2022,2.76875
2/17/2022,5.20625
2/18/2022,5.6625
2/19/2022,4.6625
2/20/2022,2.5625
2/21/2022,1.4
2/22/2022,3.61875
2/23/2022,5.74
2/24/2022,7.66875
2/25/2022,3.95
2/26/2022,6.43125
2/27/2022,10.65
2/28/2022,14.71875
3/1/2022,14.43333
3/2/2022,13.5
3/3/2022,4.22
3/4/2022,3.74667
3/5/2022,3.47333
3/6/2022,2.92
3/7/2022,5.27143
3/8/2022,5.21429
3/9/2022,3.16667
3/10/2022,3.33333
3/11/2022,4.16667
3/12/2022,3.43571
3/13/2022,2.61429
3/14/2022,5.29231
3/15/2022,3.55385
3/16/2022,3.65714
3/17/2022,3.26429
3/18/2022,5.33571
3/19/2022,4.87143
3/20/2022,3.72857
3/21/2022,3.32857
3/22/2022,3.97857
3/23/2022,4.99231
3/24/2022,5.2
3/25/2022,6.19286
3/26/2022,5.35
3/27/2022,4.07692
3/28/2022,3.44167
3/29/2022,7.20769
3/30/2022,3.30769
3/31/2022,3.98462
